ezor1	sugqjr	ezor2	sugmqor	sfr	prq	psuq	citut	hsbr	m	tarik_hosfa
נחלת דן	מכיל את	עיר עקרון	פסוק	יהושע	יט	43	ואילון ותמנתה ועקרון		אביתר	2004-11-09 19:10:47
נחלת דן	מכיל את	עיר צרעה	פסוק	יהושע	יט	41	ויהי גבול נחלתם צרעה ואשתאול ועיר שמש		אביתר	2004-11-09 19:01:54
נחלת דן	מכיל את	עיר שמש	פסוק	יהושע	יט	41	ויהי גבול נחלתם צרעה ואשתאול ועיר שמש		אביתר	2004-08-30 18:48:42
נחלת דן	מכיל את	עיר שעלבין	פסוק	יהושע	יט	42	ושעלבין ואילון ויתלה		אביתר	2004-11-09 19:05:59
נחלת דן	מכיל את	עיר תמנתה	פסוק	יהושע	יט	43	ואילון ותמנתה ועקרון		אביתר	2004-11-09 19:10:11
נחלת זבולון	מכיל את	בית לחם	פסוק	יהושע	יט	15	וקטת ונהלל ושמרון וידאלה ובית לחם..		אביתר	2004-10-04 18:54:26
נחלת זבולון	מכיל את	יפתח אל	פסוק	יהושע	יט	14	ונסב אתו הגבול מצפון חנתן והיו תצאתיו גי יפתח-אל		אביתר	2004-08-30 20:09:58
נחלת זבולון	מדרום ל	נחלת נפתלי	פסוק	יהושע	יט	34	ופגע בזבולן מנגב ובאשר פגע מים וביהודה הירדן מזרח השמש		אביתר	2004-09-05 19:09:30
נחלת זבולון	מכיל את	עיר גת	פסוק	יהושע	יט	13	ומשם עבר קדמה מזרחה גתה חפר עתה קצין ויצא רמון המתאר הנעה		אביתר	2004-11-16 19:19:22
נחלת זבולון	מכיל את	עיר דברת	פסוק	יהושע	יט	12	ושב משריד קדמה מזרח השמש על-גבול כסלת תבר ויצא אל-הדברת ועלה יפיע		אביתר	2004-11-16 19:14:19
נחלת זבולון	מכיל את	עיר דבשת	פסוק	יהושע	יט	11	ועלה גבולם לימה ומרעלה ופגע בדבשת ופגע אל-הנחל אשר על-פני יקנעם		אביתר	2004-11-16 19:09:29
נחלת זבולון	מכיל את	עיר חלן	פסוק	במדבר	א	9	[נשיא] לזבולן אליאב בן חלן	נרמז גם בברכת משה בדברים לג 19: "עמים הר יקראו שם יזבחו זבחי צדק כי שפע ימים יינקו ושפני טמוני - ח ו ל""	אביתר	2004-08-29 03:25:40
נחלת זבולון	מכיל את	עיר חנתן	פסוק	יהושע	יט	14	ונסב אתו הגבול מצפון חנתן והיו תצאתיו גי יפתח-אל		אביתר	2004-11-16 19:26:27
נחלת זבולון	מכיל את	עיר חפר	פסוק	יהושע	יט	13	ומשם עבר קדמה מזרחה גתה חפר עתה קצין ויצא רמון המתאר הנעה		אביתר	2004-11-16 19:20:12
נחלת זבולון	מכיל את	עיר ידאלה	פסוק	יהושע	יט	15	וקטת ונהלל ושמרון וידאלה ובית לחם ..		אביתר	2004-11-16 19:31:33
נחלת זבולון	מכיל את	עיר ימה	פסוק	יהושע	יט	11	ועלה גבולם לימה ומרעלה ופגע בדבשת ופגע אל-הנחל אשר על-פני יקנעם		אביתר	2004-11-16 19:08:08
נחלת זבולון	מכיל את	עיר יפיע	פסוק	יהושע	יט	12	ושב משריד קדמה מזרח השמש על-גבול כסלת תבר ויצא אל-הדברת ועלה יפיע		אביתר	2004-11-16 19:15:03
נחלת זבולון	מכיל את	עיר יקנעם	פסוק	יהושע	יט	11	ופגע אל-הנחל אשר על-פני יקנעם..		אביתר	2004-09-05 18:34:07
נחלת זבולון	מכיל את	עיר כסלת	פסוק	יהושע	יט	12	ושב משריד קדמה מזרח השמש על-גבול כסלת תבר ויצא אל-הדברת ועלה יפיע		אביתר	2004-11-16 19:13:18
נחלת זבולון	מכיל את	עיר מרעלה	פסוק	יהושע	יט	11	ועלה גבולם לימה ומרעלה ופגע בדבשת ופגע אל-הנחל אשר על-פני יקנעם		אביתר	2004-11-16 19:08:49
נחלת זבולון	מכיל את	עיר מתאר	פסוק	יהושע	יט	13	ומשם עבר קדמה מזרחה גתה חפר עתה קצין ויצא רמון המתאר הנעה		אביתר	2004-11-16 19:23:39
נחלת זבולון	מכיל את	עיר נהלל	פסוק	יהושע	יט	15	וקטת ונהלל ושמרון וידאלה ובית לחם ..		אביתר	2004-11-16 19:30:11
נחלת זבולון	מכיל את	עיר נעה	פסוק	יהושע	יט	13	..גתה חפר עתה קצין ויצא רמון המתאר הנעה		אביתר	2004-09-02 18:55:39
נחלת זבולון	מכיל את	עיר עתה	פסוק	יהושע	יט	13	ומשם עבר קדמה מזרחה גתה חפר עתה קצין ויצא רמון המתאר הנעה		אביתר	2004-11-16 19:21:35
נחלת זבולון	מכיל את	עיר צידון	אחר					לפי הברכה , בראשית מט יג : זבולן לחוף ימים ישכן והוא לחוף אנית וירכתו על צידן	אביתר	2004-09-05 18:42:24
נחלת זבולון	מכיל את	עיר צפון	פסוק	יהושע	יט	14	ונסב אתו הגבול מצפון חנתן והיו תצאתיו גי יפתח-אל		אביתר	2004-08-31 19:17:52
נחלת זבולון	מכיל את	עיר קטת	פסוק	יהושע	יט	15	וקטת ונהלל ושמרון וידאלה ובית לחם ..		אביתר	2004-11-16 19:29:24
נחלת זבולון	מכיל את	עיר קצין	פסוק	יהושע	יט	13	ומשם עבר קדמה מזרחה גתה חפר עתה קצין ויצא רמון המתאר הנעה		אביתר	2004-11-16 19:22:14
נחלת זבולון	מכיל את	עיר רמון	פסוק	יהושע	יט	13	ומשם עבר קדמה מזרחה גתה חפר עתה קצין ויצא רמון המתאר הנעה		אביתר	2004-11-16 19:23:00
נחלת זבולון	מכיל את	עיר שמרון	פסוק	יהושע	יט	15	וקטת ונהלל ושמרון וידאלה ובית לחם ..		אביתר	2004-11-16 19:30:52
נחלת זבולון	מכיל את	עיר שריד	פסוק	יהושע	יט	12	ושב משריד קדמה מזרח השמש על-גבול כסלת תבר		אביתר	2004-09-02 19:10:08
נחלת חצי מנשה - מזרח	מכיל את	הבשן	פסוק	דברים	ג	13	ויתר הגלעד וכל הבשן ממלכת עוג נתתי לחצי שבט המנשה		אראל	2004-09-27 14:36:03
נחלת חצי מנשה - מזרח	ממזרח ל	הירדן	פסוק	במדבר	לב	39	כי באה נחלתנו אלינו מעבר הירדן מזרחה	בני ראובן גד וחצי מנשה נחלו בעבר הירדן המזרחי	אראל	2004-09-27 21:04:51
נחלת חצי מנשה - מערב	מכיל את	בית שאן	פסוק	יהושע	יז	11	ויהי למנשה ביששכר ובאשר בית שאן		אביתר	2004-08-30 19:05:20
נחלת חצי מנשה - מערב	מצפון ל	נחלת אפרים	פסוק	יהושע	יז	10	נגבה לאפרים וצפונה למנשה		אראל	2004-09-20 10:47:06
נחלת חצי מנשה - מערב	מדרום ל	נחלת אשר	פסוק	יהושע	יז	10	..ובאשר יפגעון מצפון וביששכר ממזרח..		המחשב	2004-09-05 19:04:39
נחלת חצי מנשה - מערב	ממערב ל	נחלת יששכר	פסוק	יהושע	יז	10	ובאשר יפגעון מצפון וביששכר ממזרח		המחשב	2004-09-05 19:05:47
נחלת חצי מנשה - מערב	מכיל את	עיר אולם	משפחה						אביתר	2004-09-05 19:31:10
נחלת חצי מנשה - מערב	מכיל את	עיר אשר	פסוק	יהושע	יז	7	מאשר המכמתת אשר על-פני שכם והלך הגבול אל-הימין אל-ישבי עין תפוח		אביתר	2004-09-26 19:00:20
נחלת חצי מנשה - מערב	מכיל את	עיר דאר	פסוק	יהושע	יז	11	ויהי למנשה ביששכר ובאשר בית-שאן ..ויבלעם .. דאר ..עין-דר ..תענך ..מגדו ..		אביתר	2004-09-26 19:15:35
נחלת חצי מנשה - מערב	מכיל את	עיר חגלה	משפחה						אביתר	2004-09-26 19:23:28
נחלת חצי מנשה - מערב	מכיל את	עיר חלק	פסוק	במדבר	כו	30	אלה בני גלעד איעזר משפחת האיעזרי לחלק משפחת החלקי	חלק היה מצאצאי מנשה	אביתר	2004-08-25 19:04:15
נחלת חצי מנשה - מערב	מכיל את	עיר חפר	משפחה						אביתר	2004-10-04 19:43:59
נחלת חצי מנשה - מערב	מכיל את	עיר יבלעם	פסוק	יהושע	יז	11	ויהי למנשה ביששכר ובאשר בית-שאן ..ויבלעם .. דאר ..עין-דר ..תענך ..מגדו ..		אביתר	2004-09-26 19:13:58
נחלת חצי מנשה - מערב	מכיל את	עיר ימין	פסוק	יהושע	יז	7	מאשר המכמתת אשר על-פני שכם והלך הגבול אל-הימין אל-ישבי עין תפוח		אביתר	2004-09-26 19:05:33
נחלת חצי מנשה - מערב	מכיל את	עיר יפלט	פסוק	יהושע	טז	3	וירד ימה אל גבול היפלטי עד גבול בית חורן תחתון ועד גזר ..	יפלט רשומה בנחלת יוסף , נראה לי שנפלה בחלקו של מנשה	אביתר	2004-09-02 19:12:25
נחלת חצי מנשה - מערב	מכיל את	עיר ישבי	פסוק	יהושע	יז	7	..והלך הגבול אל הימין אל ישבי עין תפוח..		אביתר	2004-08-30 18:30:10
נחלת חצי מנשה - מערב	מכיל את	עיר מגדו	פסוק	יהושע	יז	11	ויהי למנשה ביששכר ובאשר בית-שאן ..ויבלעם .. דאר ..עין-דר ..תענך ..מגדו ..		אביתר	2004-09-26 19:19:48
נחלת חצי מנשה - מערב	מכיל את	עיר מחלה	פסוק	במדבר	כו	33	וצלפחד בן חפר.. ושם בנות צלפחד - מחלה ונעה חגלה מלכה ותרצה.	מחלה היתה בת צלפחד בן חפר בן מנשה	אביתר	2004-08-29 03:21:47
נחלת חצי מנשה - מערב	מכיל את	עיר מכמתת	פסוק	יהושע	יז	7	מאשר המכמתת אשר על-פני שכם והלך הגבול אל-הימין אל-ישבי עין תפוח		אביתר	2004-09-26 19:02:05
נחלת חצי מנשה - מערב	מכיל את	עיר מלכה	משפחה						אביתר	2004-08-29 18:46:22
נחלת חצי מנשה - מערב	מכיל את	עיר נעה	משפחה					..ואלה שמות בנתיו מחלה ונעה חגלה מלכה ותרצה	אביתר	2004-09-02 18:57:08
נחלת חצי מנשה - מערב	מכיל את	עיר עין	פסוק	יהושע	יז	7	מאשר המכמתת אשר על-פני שכם והלך הגבול אל-הימין אל-ישבי עין תפוח		אביתר	2004-09-26 19:07:43
נחלת חצי מנשה - מערב	מכיל את	עיר קנה	פסוק	יהושע	יז	9	וירד הגבול נחל קנה נגבה לנחל ערים האלה לאפרים בתוך ערי מנשה וגבול מנשה מצפון לנחל		אביתר	2004-09-26 19:10:52
נחלת חצי מנשה - מערב	מכיל את	עיר שכם	פסוק	יהושע	יז	7	מאשר המכמתת אשר על-פני שכם והלך הגבול אל-הימין אל-ישבי עין תפוח		אביתר	2004-09-26 19:03:41
נחלת חצי מנשה - מערב	מכיל את	עיר שמידע	משפחה						אביתר	2004-10-04 19:45:38
נחלת חצי מנשה - מערב	מכיל את	עיר תענך	פסוק	יהושע	יז	11	ויהי למנשה ביששכר ובאשר בית-שאן ..ויבלעם .. דאר ..עין-דר ..תענך ..מגדו ..		אביתר	2004-09-26 19:18:35
נחלת חצי מנשה - מערב	מכיל את	עיר תפוח	פסוק	יהושע	יז	7	מאשר המכמתת אשר על-פני שכם והלך הגבול אל-הימין אל-ישבי עין תפוח		אביתר	2004-09-26 19:09:04
נחלת חצי מנשה - מערב	מכיל את	עיר תרצה	משפחה						אביתר	2004-09-26 19:24:29
נחלת יהודה	ממזרח ל	הים הגדול	פסוק	יהושע	טו	12	וגבול ים הימה הגדול וגבול זה גבול בני-יהודה סביב למשפחתם		אראל	2004-09-20 16:21:13
נחלת יהודה	מדרום ל	נחלת אפרים	פסוק	יהושע	יח	5	יהודה יעמד על-גבולו מנגב ובית יוסף יעמדו על-גבולם מצפון	נחלת אפרים היא בדרום נחלת יוסף	אראל	2004-08-24 09:13:12
נחלת יהודה	מדרום ל	נחלת בנימין	פסוק	יהושע	יח	11	ויצא גבול גורלם בין בני יהודה ובין בני יוסף	נחלת יהודה מדרום לנחלת יוסף, ונחלת בנימין נמצאת ביניהם	המחשב	2004-08-24 09:14:37
נחלת יהודה	ממזרח ל	נחלת נפתלי	פסוק	יהושע	יט	34	ופגע בזבולן מנגב ובאשר פגע מים וביהודה הירדן מזרח השמש		אביתר	2004-09-05 19:11:45
נחלת יששכר	מכיל את	בית פצץ	פסוק	יהושע	יט	21	ורמת ועין-גנים ועין חדה ובית פצץ		אביתר	2004-11-16 20:03:29
נחלת יששכר	מכיל את	בית שמש	פסוק	יהושע	יט	22	ופגע הגבול בתבור ושחצימה ובית שמש		אביתר	2004-08-30 18:50:54
נחלת יששכר	ממזרח ל	נחלת חצי מנשה - מערב	פסוק	יהושע	יז	10	ובאשר יפגעון מצפון וביששכר ממזרח		אביתר	2004-09-05 19:05:47
נחלת יששכר	מכיל את	עין גנים	פסוק	יהושע	יט	21	ורמת ועין-גנים ועין חדה ובית פצץ		אביתר	2004-11-16 20:02:13
נחלת יששכר	מכיל את	עין חדה	פסוק	יהושע	יט	21	ורמת ועין-גנים ועין חדה ובית פצץ		אביתר	2004-11-16 20:02:51
נחלת יששכר	מכיל את	עיר אבץ	פסוק	יהושע	יט	20	והרבית וקשיון ואבץ		אביתר	2004-08-30 18:28:37
נחלת יששכר	מכיל את	עיר אנחרת	פסוק	יהושע	יט	19	וחפרים ושיאון ואנחרת		אביתר	2004-11-16 19:56:21
נחלת יששכר	מכיל את	עיר חפרים	פסוק	יהושע	יט	19	וחפרים ושיאון ואנחרת		אביתר	2004-11-16 19:55:07
נחלת יששכר	מכיל את	עיר יזרעאל	פסוק	יהושע	יט	18	ויהי גבולם יזרעאלה והכסולות ושונם		אביתר	2004-11-16 19:50:10
נחלת יששכר	מכיל את	עיר כסולות	פסוק	יהושע	יט	18	ויהי גבולם יזרעאלה והכסולות ושונם		אביתר	2004-11-16 19:50:52
נחלת יששכר	מכיל את	עיר קשיון	פסוק	יהושע	יט	20	והרבית וקשיון ואבץ		אביתר	2004-11-16 19:58:56
נחלת יששכר	מכיל את	עיר רבית	פסוק	יהושע	יט	20	והרבית וקשיון ואבץ		אביתר	2004-09-05 18:49:02
נחלת יששכר	מכיל את	עיר רמת	פסוק	יהושע	יט	21	ורמת ועין-גנים ועין חדה ובית פצץ		אביתר	2004-11-16 20:01:37
נחלת יששכר	מכיל את	עיר שונם	פסוק	יהושע	יט	18	ויהי גבולם יזרעאלה והכסולות ושונם		אביתר	2004-11-16 19:51:28
נחלת יששכר	מכיל את	עיר שחצימה	פסוק	יהושע	יט	22	ופגע הגבול בתבור ושחצימה ובית שמש ..		אביתר	2004-11-16 20:07:43
נחלת יששכר	מכיל את	עיר שיאון	פסוק	יהושע	יט	19	וחפרים ושיאון ואנחרת		אביתר	2004-11-16 19:55:43
נחלת יששכר	מכיל את	עיר תבור	פסוק	יהושע	יט	22	ופגע הגבול בתבור ושחצימה ובית שמש ..		אביתר	2004-11-16 20:07:04
נחלת נפתלי	מכיל את	אלון בצעננים	פסוק	יהושע	יט	33	ויהי גבולם מחלף מאלון בצעננים ואדמי הנקב ויבנאל עד-לקום		אביתר	2004-11-08 18:20:09
נחלת נפתלי	מכיל את	בית ענת	פסוק	יהושע	יט	38	ויראון ומגדל-אל חרם ובית-ענת ובית שמש..		אביתר	2004-11-08 18:47:30
נחלת נפתלי	מכיל את	בית שמש	פסוק	יהושע	יט	38	ויראון ומגדל-אל חרם ובית-ענת ובית שמש		אביתר	2004-08-30 18:49:51
נחלת נפתלי	מכיל את	מגדל אל	פסוק	יהושע	יט	38	ויראון ומגדל-אל חרם ובית-ענת ובית שמש..		אביתר	2004-11-08 18:46:15
נחלת נפתלי	ממזרח ל	נחלת אשר	פסוק	יהושע	יט	34	ופגע בזבולן מנגב ובאשר פגע מים וביהודה הירדן מזרח השמש		המחשב	2004-09-05 19:10:47
נחלת נפתלי	מצפון ל	נחלת זבולון	פסוק	יהושע	יט	34	ופגע בזבולן מנגב ובאשר פגע מים וביהודה הירדן מזרח השמש		המחשב	2004-09-05 19:09:30
נחלת נפתלי	ממערב ל	נחלת יהודה	פסוק	יהושע	יט	34	ופגע בזבולן מנגב ובאשר פגע מים וביהודה הירדן מזרח השמש		המחשב	2004-09-05 19:11:45
נחלת נפתלי	מכיל את	עין חצור	פסוק	יהושע	יט	37	וקדש ואדרעי ועין חצור		אביתר	2004-11-08 18:42:17
נחלת נפתלי	מכיל את	עיר אדמי	פסוק	יהושע	יט	33	ויהי גבולם מחלף מאלון בצעננים ואדמי הנקב ויבנאל עד-לקום		אביתר	2004-11-08 18:20:44
נחלת נפתלי	מכיל את	עיר אדרעי	פסוק	יהושע	יט	37	וקדש ואדרעי ועין חצור		אביתר	2004-11-08 18:41:44
נחלת נפתלי	מכיל את	עיר חלף	פסוק	יהושע	יט	33	ויהי גבולם מחלף מאלון בצעננים ואדמי הנקב ויבנאל עד-לקום		אביתר	2004-11-08 18:19:18
נחלת נפתלי	מכיל את	עיר חמת	פסוק	יהושע	יט	35	וערי מבצר הצדים צר וחמת רקת וכנרת		אביתר	2004-09-02 19:24:22
נחלת נפתלי	מכיל את	עיר חצור	פסוק	יהושע	יט	36	ואדמה והרמה וחצור		אביתר	2004-11-08 18:35:53
נחלת נפתלי	מכיל את	עיר חקק	פסוק	יהושע	יט	32	לבני נפתלי יצא הגורל השישי... ויצא משם חוקוקה...		אביתר	2004-08-25 18:45:50
נחלת נפתלי	מכיל את	עיר חרם	פסוק	יהושע	יט	38	ויראון ומגדל-אל חרם ובית-ענת ובית שמש..		אביתר	2004-11-08 18:46:54
נחלת נפתלי	מכיל את	עיר יבנאל	פסוק	יהושע	יט	33	ויהי גבולם מחלף מאלון בצעננים ואדמי הנקב ויבנאל עד-לקום		אביתר	2004-11-08 18:22:00
נחלת נפתלי	מכיל את	עיר יראון	פסוק	יהושע	יט	38	ויראון ומגדל-אל חרם ובית-ענת ובית שמש..		אביתר	2004-11-08 18:45:30
נחלת נפתלי	מכיל את	עיר כנרת	פסוק	יהושע	יט	35	וערי מבצר הצדים צר וחמת רקת וכנרת		אביתר	2004-11-08 18:32:35
נחלת נפתלי	מכיל את	עיר מבצר	פסוק	יהושע	יט	35	וערי מבצר הצדים צר וחמת רקת וכנרת		אביתר	2004-11-08 18:30:44
נחלת נפתלי	מכיל את	עיר נקב	פסוק	יהושע	יט	33	ויהי גבולם מחלף מאלון בצעננים ואדמי הנקב ויבנאל עד-לקום		אביתר	2004-11-08 18:21:23
נחלת נפתלי	מכיל את	עיר צדים	פסוק	יהושע	יט	35	וערי מבצר הצדים צר וחמת רקת וכנרת		אביתר	2004-11-08 18:31:18
נחלת נפתלי	מכיל את	עיר צר	פסוק	יהושע	יט	35	וערי מבצר הצדים צר וחמת רקת וכנרת		אביתר	2004-09-07 19:32:05
נחלת נפתלי	מכיל את	עיר קדש	פסוק	יהושע	יט	37	וקדש ואדרעי ועין חצור		אביתר	2004-11-08 18:41:06
נחלת נפתלי	מכיל את	עיר קום	פסוק	יהושע	יט	33	ויהי גבולם מחלף מאלון בצעננים ואדמי הנקב ויבנאל עד-לקום		אביתר	2004-11-08 18:22:43
נחלת נפתלי	מכיל את	עיר רמה	פסוק	יהושע	לב	36	ואדמה והרמה וחצור		אביתר	2004-09-05 18:57:39
נחלת נפתלי	מכיל את	עיר רקת	פסוק	יהושע	יט	35	וערי מבצר הצדים צר וחמת רקת וכנרת		אביתר	2004-11-08 18:31:55
נחלת ראובן	מכיל את	אשדות הפסגה	פסוק	יהושע	יג	19	ובית פעור ואשדות הפסגה ובית הישמות		אביתר	2005-03-07 19:38:20
נחלת ראובן	מכיל את	בית הישמות	פסוק	יהושע	יג	19	ובית פעור ואשדות הפסגה ובית הישמות		אביתר	2005-03-07 19:39:47
נחלת ראובן	ממזרח ל	הירדן	פסוק	במדבר	לב	39	כי באה נחלתנו אלינו מעבר הירדן מזרחה	בני ראובן גד וחצי מנשה נחלו בעבר הירדן המזרחי	אראל	2004-09-27 21:02:50
נחלת ראובן	מכיל את	מוסבת שם	פסוק	במדבר	לב	38	ואת נבו ואת בעל מעון מוסבת שם ואת שבמה		אביתר	2005-03-07 19:44:19
נחלת ראובן	מכיל את	עיר אלעלא	פסוק	במדבר	לב	27	ובני ראובן בנו את חשבון ואת אלעלא ואת קריתים		אביתר	2005-03-07 19:41:31
נחלת ראובן	מכיל את	עיר במות	פסוק	יהושע	יג	16	חשבון וכל-עריה אשר במישור דיבון ובמות בעל ובית בעל מעון		אביתר	2005-03-07 19:27:17
נחלת ראובן	מכיל את	עיר דיבון	פסוק	יהושע	יג	16	חשבון וכל-עריה אשר במישור דיבון ובמות בעל ובית בעל מעון		אביתר	2005-03-07 19:26:36
נחלת ראובן	מכיל את	עיר השחר	פסוק	יהושע	יג	19	וקריתים ושבמה וצרת השחר בהר העמק	השחר רשומה בנחלת ראובן	אביתר	2004-08-29 19:39:56
נחלת ראובן	מכיל את	עיר חשבון	פסוק	יהושע	יג	16	חשבון וכל-עריה אשר במישור דיבון ובמות בעל ובית בעל מעון		אביתר	2005-03-07 19:25:59
נחלת ראובן	מכיל את	עיר יהץ	פסוק	יהושע	יג	17	ויהצה וקדמת ומפעת		אביתר	2005-03-07 19:29:18
נחלת ראובן	מכיל את	עיר מידבא	פסוק	יהושע	יג	15	ויהי להם הגבול מערוער אשר על-שפת-נחל ארנון והעיר אשר בתוך-הנחל וכל-המישר על-מידבא		אביתר	2005-03-07 19:24:58
נחלת ראובן	מכיל את	עיר מישור	פסוק	יהושע	יג	15	ויהי להם הגבול מערוער אשר על-שפת-נחל ארנון והעיר אשר בתוך-הנחל וכל-המישר על-מידבא		אביתר	2005-03-07 19:23:48
נחלת ראובן	מכיל את	עיר מעון	פסוק	יהושע	יג	16	חשבון וכל-עריה אשר במישור דיבון ובמות בעל ובית בעל מעון		אביתר	2005-03-07 19:28:05
נחלת ראובן	מכיל את	עיר מפעת	פסוק	יהושע	יג	17	ויהצה וקדמת ומפעת		אביתר	2005-03-07 19:33:43
נחלת ראובן	מכיל את	עיר נבו	פסוק	במדבר	לב	38	ואת נבו ואת בעל מעון מוסבת שם ואת שבמה		אביתר	2005-03-07 19:43:09
נחלת ראובן	מכיל את	עיר עמק	פסוק	יהושע	יג	15	ויתן משה למטה בני-ראובן... וקריתים ושבמה וצרת השחר בהר העמק		אביתר	2004-08-31 19:32:02
נחלת ראובן	מכיל את	עיר ערוער	פסוק	יהושע	יג	15	ויהי להם הגבול מערוער אשר על-שפת-נחל ארנון והעיר אשר בתוך-הנחל וכל-המישר על-מידבא		אביתר	2005-03-07 19:22:05
נחלת ראובן	מכיל את	עיר פעור	פסוק	יהושע	יג	19	ובית פעור ואשדות הפסגה ובית הישמות		אביתר	2005-03-07 19:37:18
נחלת ראובן	מכיל את	עיר צרת	פסוק	יהושע	יג	18	וקריתים ושבמה וצרת השחר בהר העמק		אביתר	2005-03-07 19:36:11
נחלת ראובן	מכיל את	עיר קדמות	פסוק	יהושע	יג	17	ויהצה וקדמת ומפעת		אביתר	2005-03-07 19:33:00
נחלת ראובן	מכיל את	עיר קריתים	פסוק	יהושע	יג	18	וקריתים ושבמה וצרת השחר בהר העמק		אביתר	2005-03-07 19:34:46
נחלת ראובן	מכיל את	עיר שבמה	פסוק	יהושע	יג	18	וקריתים ושבמה וצרת השחר בהר העמק		אביתר	2005-03-07 19:35:31
עין גנים	בתוך	נחלת יששכר	פסוק	יהושע	יט	21	ורמת ועין-גנים ועין חדה ובית פצץ		אביתר	2004-11-16 20:02:13
עין חדה	בתוך	נחלת יששכר	פסוק	יהושע	יט	21	ורמת ועין-גנים ועין חדה ובית פצץ		אביתר	2004-11-16 20:02:51
עין חצור	בתוך	נחלת נפתלי	פסוק	יהושע	יט	37	וקדש ואדרעי ועין חצור		אביתר	2004-11-08 18:42:17
עיר אביעזר	נקרא גם	אבן העזר	אותיות						אביתר	2004-10-04 19:31:09
עיר אביעזר	נקרא גם	עיר תפוח	אחר					אבי-עזר , עזר = עזרר / חזרר / חזרן / חזורה = תפוח (בר) , זערור בערבית	אביתר	2004-10-04 19:37:57
עיר אבץ	בתוך	נחלת יששכר	פסוק	יהושע	יט	20	והרבית וקשיון ואבץ		המחשב	2004-08-30 18:28:37
עיר אבץ	נקרא גם	עיר רבץ	אחר					לפי תרגום השבעים , ולפי הרמז בברכה "רבץ בין המשפתיים	אביתר	2004-08-30 18:34:13
עיר אדמה	נקרא גם	עיר אדמי	אותיות						אביתר	2004-11-08 18:36:53
עיר אדמי	בתוך	נחלת נפתלי	פסוק	יהושע	יט	33	ויהי גבולם מחלף מאלון בצעננים ואדמי הנקב ויבנאל עד-לקום		אביתר	2004-11-08 18:20:44
עיר אדמי	נקרא גם	עיר אדמה	אותיות						אביתר	2004-11-08 18:36:53
עיר אדר	בתוך	נחלת אפרים	פסוק	יהושע	טז	5	..ויהי גבול נחלתם מזרחה עטרות אדר עד-בית חורון עליון		אביתר	2004-09-21 17:39:50
עיר אדרעי	בתוך	נחלת נפתלי	פסוק	יהושע	יט	37	וקדש ואדרעי ועין חצור		אביתר	2004-11-08 18:41:44
עיר אוזן	בתוך	נחלת אפרים	משפחה						אביתר	2004-10-04 18:40:30
עיר אוזן	נקרא גם	עיר אזנות	אותיות						אביתר	2004-10-04 18:45:13
עיר אולם	בתוך	נחלת חצי מנשה - מערב	משפחה						המחשב	2004-09-05 19:31:11
עיר אולם	נקרא גם	עיר בטן	אחר					אולם פירושו בטן , "ובריא אולם"" = בטן שמנה (תהילים)	המחשב	2004-08-29 18:28:31
עיר אזנות	נקרא גם	עיר אוזן	אותיות						אביתר	2004-10-04 18:45:13
עיר אילון	בתוך	נחלת דן	פסוק	יהושע	יט	42	ושעלבין ואילון ויתלה		אביתר	2004-11-09 19:06:54
עיר אכזיב	בתוך	נחלת אשר	פסוק	יהושע	יט	29	ושב הגבול הרמה ועד-עיר מבצר-צר ושב הגבול חסה והיו תצאתיו הימה מחבל אכזיבה		אביתר	2004-09-21 18:48:10
עיר אכשף	בתוך	נחלת אשר	פסוק	יהושע	יט	25	ויהי גבולם חלקת וחלי ובטן ואכשף	אכשף מוזכרת בנחל אשר	המחשב	2004-08-29 18:31:08
עיר אכשף	נקרא גם	עיר חרשת	אחר					שרש כשף = חרש (ארמית , ולמעשה גם עברית)	אביתר	2004-08-29 18:37:38
עיר אלמלך	בתוך	נחלת אשר	פסוק	יהושע	יט	26	ואלמלך ועמעד ומשאל ופגע בכרמל ובשיחור לבנת	אלמלך מוזכרת בנחלת אשר	המחשב	2004-08-29 18:44:46
עיר אלמלך	נקרא גם	עיר מלך	אותיות						אביתר	2004-08-29 18:47:02
עיר אלמלך	נקרא גם	עיר מלכה	אותיות						אביתר	2004-08-29 18:47:24
עיר אלעלא	בתוך	נחלת ראובן	פסוק	במדבר	לב	27	ובני ראובן בנו את חשבון ואת אלעלא ואת קריתים		אביתר	2005-03-07 19:41:31
עיר אלתקה	בתוך	נחלת דן	פסוק	יהושע	יט	44	ואלתקה וגבתון ובעלת		אביתר	2004-11-09 19:12:52
עיר אנחרת	בתוך	נחלת יששכר	פסוק	יהושע	יט	19	וחפרים ושיאון ואנחרת		אביתר	2004-11-16 19:56:21
עיר אפק	בתוך	נחלת אשר	פסוק	יהושע	יט	30	ועמה ואפק ורחב ערים עשרים ושתים וחצריהן		אביתר	2004-09-21 18:52:42
עיר אפרת	נקרא גם	בית לחם	פסוק	בראשית	לה	19	ותמת רחל ותקבר בדרך אפרתה הוא בית לחם		אביתר	2004-10-04 18:56:06
עיר אפרת	נקרא גם	עיר פרה	אותיות						אביתר	2004-10-04 18:56:59
עיר ארומה	נקרא גם	עיר תרמה	אותיות					הערה , תרמה מוזכרת בתרגום השבעים "ויצא הגבול הימה המכמתת מצפון (לתרמה) "	אביתר	2004-10-04 19:06:54
עיר אשחור	נקרא גם	עיר שיחור	אותיות						המחשב	2004-08-29 19:32:39
