tt_kotrt	jm	sug	sugmqor	sfr	prq	psuq	citut	m	tarik_hosfa	ktovt
ארץ שנער	שנער	ארץ				0			2006.11.20 12:03:00	arc_jner
ארץ תרשיש	תרשיש	ארץ				0			2006.11.20 12:03:00	trjyj
אשדות הפסגה	אשדות הפסגה	עיר	פסוק	יהושע	יג	19	ובית פעור ואשדות הפסגה ובית הישמות	אביתר כהן	2005.3.7 19:14:48	ajdwt_hpsgh
באר שבע	באר שבע	עיר	פסוק	יהושע	טו	28	וחצר שועל ובאר שבע ובזיותיה	אביתר כהן	2005.3.8 19:25:24	bar_jbe
בית און	בית און	עיר	פסוק	יהושע	ז	2	וישלח יהושע אנשים מיריחו העי אשר עם-בית און מקדם לבית-אל 	אביתר כהן	2006.2.13 13:41:09	byt_awn
בית אל	בית אל	עיר	פסוק	בראשית	כח	19	ויקרא את שם המקום ההוא בית אל, ואולם לוז שם העיר לראשנה	אביתר כהן	2004.9.26 18:43:43	byt_al
בית ברה	בית ברה	עיר				0			2006.11.20 12:03:00	byt_brh
בית דגון	בית דגון	עיר	פסוק	יהושע	טו	41	וגדרות בית-דגון ונעמה ומקדה ערים שש-עשרה וחצריהן:	אביתר כהן	2006.2.27 18:33:59	byt_dgwn
בית דגן	בית דגן	עיר	פסוק	יהושע	יט	27	ושב מזרח השמש בית דגן ופגע בזבולן ..	אביתר כהן	2004.8.30 18:55:48	byt_dgn
בית הבעל	בית הבעל	שער				0			2006.11.20 12:03:00	byt_hbel
בית הישמות	בית הישמות	עיר	פסוק	יהושע	יג	19	ובית פעור ואשדות הפסגה ובית הישמות	אביתר כהן	2005.3.7 19:15:07	byt_hyjmwt
בית הכרם	בית הכרם	עיר	פסוק	ירמיה	ו	1	העזו בני בנימן מקרב ירושלם ובתקוע תקעו שופר ועל-בית הכרם	אביתר כהן	2004.8.29 19:02:39	byt_hkrm
בית המקדש	בית המקדש	שער				0			2006.11.20 12:03:00	byt_hmqdj
בית המרחק	המרחק	בית				0			2006.11.20 12:03:00	byt_hmrxq
בית המרכבות	בית המרכבות	עיר	פסוק	יהושע	יט	5	וצקלג ובית-המרכבות וחצר סוסה	אביתר כהן	2005.3.31 21:06:49	byt_hmrkbwt
בית העמק	בית העמק	עיר	פסוק	יהושע	יט	27	..ופגע בזבולן ובגי יפתח-אל צפונה בית העמק ונעיאל..	אביתר כהן	2004.8.31 19:21:27	byt_hemq
בית הערבה	בית הערבה	עיר	פסוק	יהושע	יח	22	ובית הערבה וצמרים ובית-אל	אביתר כהן	2004.10.20 19:42:39	byt_herbh
בית הרם	בית הרם	עיר	פסוק	יהושע	יג	27	ובעמק בית הרם ובית נמרה וסכות וצפון ..	אביתר כהן	2004.9.5 18:52:29	byt_hrm
בית הרן	בית הרן	עיר	פסוק	במדבר	לב	34	ואת בית נמרה ואת בית הרן ערי מבצר ..	אביתר כהן	2004.9.5 18:54:10	byt_hrn
בית השטה	בית השטה	עיר	פסוק	שופטים	ז	22	עד-בית השטה צררתה עד שפת-אבל מחולה על-טבת	אביתר כהן	2004.8.30 19:00:39	byt_hjfh
בית חגלה	בית חגלה	עיר	פסוק	יהושע	יח	21	והיו הערים למטה בני בנימן למשפחותיהם יריחו ובית-חגלה ועמק קציץ	אביתר כהן	2004.10.20 19:41:05	byt_xglh
בית חורון	בית חורון	עיר				0			2006.11.20 12:03:00	byt_xwrwn
בית חורון עליון	בית חורון עליון	עיר	פסוק	יהושע	טז	5	..ויהי גבול נחלתם מזרחה עטרות אדר עד-בית חורון עליון	אביתר כהן	2004.9.21 17:41:33	byt_xwrwn_elywn
